year,month,day,ao_index_cdas
2002,3,4,2.445782661
2002,3,5,2.993073702
2002,3,6,3.689963102
2002,3,7,2.945387602
2002,3,8,2.187435627
2002,3,9,1.772608399
2002,3,10,1.008800745
2002,3,11,0.914778054
2002,3,12,1.474562407
2002,3,13,1.054768682
2002,3,14,0.093164608
2002,3,15,-0.656676829
2002,3,16,-0.69892633
2002,3,17,-0.278092116
2002,3,18,0.089259565
2002,3,19,0.053745937
2002,3,20,-0.118136384
2002,3,21,-0.636453569
2002,3,22,-1.810567498
2002,3,23,-2.189771891
2002,3,24,-0.953808844
2002,3,25,0.466926903
2002,3,26,1.303302288
2002,3,27,1.648738146
2002,3,28,1.374943137
2002,3,29,0.658405542
2002,3,30,0.200239792
2002,3,31,-0.022609571
2002,4,1,-0.281087667
2002,11,1,-0.450884312
2002,11,2,-0.331269532
2002,11,3,-0.524931192
2002,11,4,-0.917346954
2002,11,5,-1.043299913
2002,11,6,-1.483607411
2002,11,7,-2.533302307
2002,11,8,-2.332113743
2002,11,9,-1.486734509
2002,11,10,-1.027381182
2002,11,11,-1.191709042
2002,11,12,-1.416528821
2002,11,13,-1.463009596
2002,11,14,-2.023567438
2002,11,15,-1.89791739
2002,11,16,-0.895266056
2002,11,17,0.262905329
2002,11,18,0.324104667
2002,11,19,-0.063293867
2002,11,20,-0.149203509
2002,11,21,-0.889765203
2002,11,22,-1.709097266
2002,11,23,-2.931434155
2002,11,24,-3.454767704
2002,11,25,-2.847814322
2002,11,26,-2.261476994
2002,11,27,-1.676867843
2002,11,28,-1.414304376
2002,11,29,-2.025210381
2002,11,30,-1.379764438
2002,12,1,-0.911506891
2002,12,2,-1.216387153
2002,12,3,-1.0209378
2002,12,4,-1.400752783
2002,12,5,-1.938042879
2002,12,6,-2.286158323
2002,12,7,-2.653730631
2002,12,8,-2.244096279
2002,12,9,-1.465867877
2002,12,10,-0.37152186
2002,12,11,-0.030914685
2002,12,12,-0.685718596
2002,12,13,-1.432988763
2002,12,14,-1.775779724
2002,12,15,-1.971504092
2002,12,16,-1.658345103
2002,12,17,-1.062067389
2002,12,18,-1.366174221
2002,12,19,-1.966092706
2002,12,20,-1.990229845
2002,12,21,-1.962187886
2002,12,22,-1.936132193
2002,12,23,-1.57737267
2002,12,24,-0.734315515
2002,12,25,-0.317715228
2002,12,26,-0.566445649
2002,12,27,-1.479695439
2002,12,28,-1.915944576
2002,12,29,-2.338321209
2002,12,30,-2.75731039
2002,12,31,-2.567425966
2003,1,1,-1.981738091
2003,1,2,-1.97405684
2003,1,3,-1.578866005
2003,1,4,-1.020089269
2003,1,5,-0.864901423
2003,1,6,-0.188608676
2003,1,7,-0.067190275
2003,1,8,-1.389273763
2003,1,9,-2.245029926
2003,1,10,-1.484633684
2003,1,11,-0.259422094
2003,1,12,1.094863892
2003,1,13,2.17939496
2003,1,14,2.571958542
2003,1,15,2.498472452
2003,1,16,2.183694839
2003,1,17,1.021828294
2003,1,18,-0.152584955
2003,1,19,-1.070321083
2003,1,20,-2.401767731
2003,1,21,-3.544985771
2003,1,22,-3.575453281
2003,1,23,-2.486744165
2003,1,24,-1.240776062
2003,1,25,-0.469270527
2003,1,26,0.578739882
2003,1,27,1.372515202
2003,1,28,0.182589129
2003,1,29,-0.759956896
2003,1,30,-0.027484596
2003,1,31,0.994453192
2003,2,1,1.573336601
2003,2,2,1.112043023
2003,2,3,0.103936613
2003,2,4,-0.576049864
2003,2,5,-0.371294349
2003,2,6,0.54870975
2003,2,7,1.144744635
2003,2,8,1.087485075
2003,2,9,1.27343905
2003,2,10,1.260476232
2003,2,11,0.642580986
2003,2,12,0.245953426
2003,2,13,-0.042805094
2003,2,14,-0.391549855
2003,2,15,-0.147366166
2003,2,16,0.438044667
2003,2,17,0.674705923
2003,2,18,-0.039993815
2003,2,19,-0.706730783
2003,2,20,-0.572274387
2003,2,21,-0.350517541
2003,2,22,-0.602189958
2003,2,23,-0.597089291
2003,2,24,-0.432410061
2003,2,25,-0.280965179
2003,2,26,-0.624184549
2003,2,27,-0.594059169
2003,2,28,-0.327541351
2003,3,1,-0.226709381
2003,3,2,-0.140260711
2003,3,3,-0.24619247
2003,3,4,-0.515520751
2003,3,5,-0.203715876
2003,3,6,-0.128544226
2003,3,7,-0.341514796
2003,3,8,-0.249587208
2003,3,9,0.120958924
2003,3,10,0.917217195
2003,3,11,1.172365308
2003,3,12,1.149367213
2003,3,13,0.39195025
2003,3,14,-0.278176636
2003,3,15,-0.431165874
2003,3,16,-0.182441607
2003,3,17,-0.231439978
2003,3,18,-0.192471802
2003,3,19,0.454846293
2003,3,20,1.971581221
2003,3,21,3.265095234
2003,3,22,3.202605247
2003,3,23,2.438694477
2003,3,24,2.418273211
2003,3,25,2.240097523
2003,3,26,2.091396809
2003,3,27,1.991707563
2003,3,28,1.510516882
2003,3,29,1.430363774
2003,3,30,1.785122037
2003,3,31,2.705907106
2003,4,1,2.860857964
2003,11,1,-1.314866424
2003,11,2,-1.110680938
2003,11,3,-0.534511507
2003,11,4,-0.046796493
2003,11,5,-0.264630705
2003,11,6,-0.674224913
2003,11,7,-0.802051783
2003,11,8,-0.866803944
2003,11,9,-0.113178112
2003,11,10,0.71918118
2003,11,11,1.014598846
2003,11,12,1.301424384
2003,11,13,0.812565207
2003,11,14,0.108622819
2003,11,15,-0.382111877
2003,11,16,0.586886585
2003,11,17,1.53078258
2003,11,18,1.478651285
2003,11,19,0.871625781
2003,11,20,0.190665543
2003,11,21,0.481407166
2003,11,22,1.251565814
2003,11,23,2.045128345
2003,11,24,2.845185757
2003,11,25,2.316638231
2003,11,26,0.971007764
2003,11,27,0.916146159
2003,11,28,1.698419571
2003,11,29,2.192501068
2003,11,30,1.361077189
2003,12,1,1.021352053
2003,12,2,1.021637321
2003,12,3,1.000591278
2003,12,4,0.323169261
2003,12,5,0.480667263
2003,12,6,0.523216426
2003,12,7,0.823205411
2003,12,8,0.137136713
2003,12,9,-0.095146134
2003,12,10,0.453221649
2003,12,11,1.023941755
2003,12,12,1.304688692
2003,12,13,1.239279628
2003,12,14,0.359073371
2003,12,15,-0.194002584
2003,12,16,-0.033444833
2003,12,17,-0.088867515
2003,12,18,-0.631802797
2003,12,19,-1.068845153
2003,12,20,-1.224547982
2003,12,21,-0.61599046
2003,12,22,-0.252643138
2003,12,23,0.611050963
2003,12,24,1.309884906
2003,12,25,1.314083219
2003,12,26,0.415214449
2003,12,27,-0.409319431
2003,12,28,-0.456742316
2003,12,29,-0.324576795
2003,12,30,0.006310091
2003,12,31,-0.045906886
2004,1,1,-0.522834241
2004,1,2,-0.186157465
2004,1,3,0.065435663
2004,1,4,0.006528185
2004,1,5,-0.382963151
2004,1,6,-0.857585371
2004,1,7,-1.226821184
2004,1,8,-1.327288747
2004,1,9,-1.121099472
2004,1,10,-0.629625022
2004,1,11,-0.20537512
2004,1,12,-0.352215499
2004,1,13,-0.957690239
2004,1,14,-1.914077759
2004,1,15,-2.968390942
2004,1,16,-3.854693174
2004,1,17,-4.386655331
2004,1,18,-3.889955997
2004,1,19,-3.3817904
2004,1,20,-2.782793283
2004,1,21,-1.190953612
2004,1,22,0.285125196
2004,1,23,0.655175626
2004,1,24,-0.775598288
2004,1,25,-2.151749372
2004,1,26,-3.008136272
2004,1,27,-3.011604548
2004,1,28,-3.019124269
2004,1,29,-3.267133236
2004,1,30,-2.557199478
2004,1,31,-1.486915708
2004,2,1,-0.962160945
2004,2,2,-1.305334806
2004,2,3,-0.577145994
2004,2,4,0.392119348
2004,2,5,0.494457632
2004,2,6,0.082094006
2004,2,7,-0.337134808
2004,2,8,-0.607589185
2004,2,9,-0.017463632
2004,2,10,0.126526266
2004,2,11,-0.519184649
2004,2,12,-0.601330101
2004,2,13,-1.069461465
2004,2,14,-1.83832562
2004,2,15,-2.096141338
2004,2,16,-1.800049186
2004,2,17,-1.466490388
2004,2,18,-1.642770171
2004,2,19,-1.906846523
2004,2,20,-2.136853933
2004,2,21,-2.453915119
2004,2,22,-2.345184565
2004,2,23,-2.464771032
2004,2,24,-2.817771435
2004,2,25,-3.202136993
2004,2,26,-3.108811617
2004,2,27,-3.129934549
2004,2,28,-3.043414593
2004,2,29,-2.396379471
2004,3,1,-1.613736987
2004,3,2,-0.908447444
2004,3,3,-0.129294321
